"flow_id","station_id","datetime","total_input_flow","total_output_flow","total_output_pressure"
32,15,"2024-08-18 01:48:22.368048","5361.81","4431.47","28.65"
33,82,"2024-08-20 11:25:22.368048","5046.33","4825.84","28.43"
34,38,"2024-07-31 00:10:22.368048","5788.83","4778.41","28.87"
35,62,"2024-08-10 08:22:22.368048","5958.29","4416.85","28.36"
36,3,"2024-07-22 21:25:22.368048","5830.16","4560.98","24.42"
37,78,"2024-07-24 01:31:22.368048","5876.19","4511.09","25.75"
38,24,"2024-08-15 01:56:22.368048","5401.30","4382.66","27.30"
39,31,"2024-08-16 09:10:22.368048","5106.07","4250.81","24.90"
40,47,"2024-08-02 22:51:22.368048","5849.28","4695.09","21.33"
41,21,"2024-08-15 12:08:22.368048","5274.71","4839.88","22.35"
42,83,"2024-08-10 15:55:22.368048","5354.72","4337.00","22.20"
43,84,"2024-08-12 03:39:22.368048","5320.38","4321.79","20.81"
44,22,"2024-08-10 16:26:22.368048","5096.27","4927.60","28.99"
45,18,"2024-08-21 15:33:22.368048","5763.17","4009.85","26.86"
46,69,"2024-08-16 03:37:22.368048","5550.53","4230.77","29.92"
47,82,"2024-08-05 03:13:22.368048","5430.96","4824.68","23.46"
48,38,"2024-08-13 04:01:22.368048","5108.88","4928.44","24.45"
49,14,"2024-08-05 13:52:22.368048","5351.13","4968.28","22.29"
50,8,"2024-08-06 08:01:22.368048","5325.16","4360.54","27.66"
51,98,"2024-08-18 12:51:22.368048","5437.37","4621.66","25.53"
52,21,"2024-08-12 06:56:22.368048","5227.56","4869.90","23.92"
53,94,"2024-07-31 01:09:22.368048","5949.99","4323.10","23.10"
54,38,"2024-08-18 09:09:22.368048","5381.36","4583.02","25.78"
55,31,"2024-07-31 15:52:22.368048","5113.07","4615.15","21.70"
56,45,"2024-07-28 18:39:22.368048","5612.58","4843.30","29.47"
57,39,"2024-07-23 19:58:22.368048","5257.62","4873.38","27.19"
58,40,"2024-08-13 05:27:22.368048","5258.48","4054.59","27.30"
59,35,"2024-08-03 06:26:22.368048","5581.93","4718.88","25.44"
60,95,"2024-08-11 19:31:22.368048","5381.10","4671.47","20.66"
61,63,"2024-07-27 11:03:22.368048","5785.67","4292.36","25.33"
62,59,"2024-07-29 07:47:22.368048","5609.92","4140.14","29.55"
63,25,"2024-07-28 06:08:22.368048","5768.28","4385.81","20.98"
64,43,"2024-08-10 07:39:22.368048","5835.92","4022.15","28.04"
65,19,"2024-08-01 14:54:22.368048","5926.72","4557.61","29.82"
66,43,"2024-08-10 11:54:22.368048","5599.19","4162.92","24.96"
67,14,"2024-08-09 08:51:22.368048","5306.83","4505.87","25.31"
68,42,"2024-08-11 17:02:22.368048","5745.05","4082.67","27.40"
69,38,"2024-07-25 09:01:22.368048","5641.17","4451.13","24.86"
70,79,"2024-07-22 02:52:22.368048","5027.66","4091.12","23.93"
71,39,"2024-08-18 11:15:22.368048","5561.85","4385.07","20.88"
72,43,"2024-08-21 05:44:22.368048","5925.91","4671.12","25.66"
73,57,"2024-08-17 03:05:22.368048","5085.48","4373.17","20.18"
74,86,"2024-07-24 21:27:22.368048","5864.86","4223.67","26.58"
75,5,"2024-07-28 16:15:22.368048","5612.31","4368.99","22.77"
76,37,"2024-08-20 17:31:22.368048","5811.26","4594.71","25.30"
77,33,"2024-08-18 17:41:22.368048","5498.00","4938.80","26.12"
78,31,"2024-08-11 18:07:22.368048","5756.24","4733.18","24.13"
79,47,"2024-07-29 11:46:22.368048","5928.77","4108.82","28.95"
80,59,"2024-08-19 06:51:22.368048","5755.03","4548.87","23.75"
81,17,"2024-08-15 09:42:22.368048","5678.56","4670.41","28.55"
82,17,"2024-07-28 14:01:22.368048","5686.38","4683.93","23.10"
83,16,"2024-08-20 09:20:22.368048","5710.92","4168.36","23.61"
84,39,"2024-08-20 02:42:22.368048","5136.08","4522.07","23.12"
85,83,"2024-07-29 03:11:22.368048","5175.19","4414.54","26.49"
86,85,"2024-08-05 05:43:22.368048","5673.93","4428.31","26.51"
87,46,"2024-08-03 08:50:22.368048","5141.42","4167.05","28.53"
88,91,"2024-07-27 02:41:22.368048","5004.02","4598.41","27.56"
89,43,"2024-08-14 23:08:22.368048","5104.29","4357.26","27.88"
90,40,"2024-07-31 12:50:22.368048","5536.72","4300.76","29.54"
91,67,"2024-07-27 23:32:22.368048","5889.71","4089.33","23.25"
92,26,"2024-08-16 06:15:22.368048","5858.67","4386.96","25.42"
93,29,"2024-08-11 14:40:22.368048","5396.08","4751.61","22.05"
94,16,"2024-08-03 00:35:22.368048","5063.71","4905.58","23.33"
95,4,"2024-08-17 18:33:22.368048","5102.67","4196.93","25.93"
96,29,"2024-08-12 14:42:22.368048","5612.17","4481.89","28.13"
97,84,"2024-08-06 18:22:22.368048","5604.02","4816.87","23.77"
98,49,"2024-07-25 01:20:22.368048","5919.19","4558.68","21.46"
99,47,"2024-08-04 23:42:22.368048","5047.96","4989.94","26.22"
100,27,"2024-08-04 04:52:22.368048","5619.94","4870.70","24.55"
